Word,Usage Number,Green's Notes,Ambidextrous?,Farmer & Henley?,First Date,Last Date,Years Used,First Date As Person
chitterling,8,"[SE chitterlings, the small intestines of animals, esp. pigs] / 1. the penis. / ... / 2. (also chitterlin) a flaccid penis; thus its posessor, an impotent man.",N,N,1653,1896,243,
choak pear,1,,N,N,1788,1788,0,
clatterdevengeance,2,,N,N,1659,1660,1,
claw-buttock,2,,N,Y,1653,1890,237,
clock weights,3,[they supposedly swing backwards and forwards] / the testicles.,N,N,1793,1896,103,
clothes-prop,1,"[see Williams for 17C fig. use of prop, penis]",N,Y,1890,1890,0,
club,9,,N,Y,1620,1890,270,
clyster-pipe,2,"[SE clyster-pipe, a pipe used to administer clysters, or enemas]",N,N,1700,1835,135,
cock,26,"[Lat. cuccus, the male domestic fowl; thus the term has been used for any object that resembles a cock’s head. As far as its use as a sexual term is concerned, cock here mixes the basic image of the cock as rooster (itself a 19C US euph.) and the cock’s head seen as a tap-like shape, this secondary aspect emphasized by its function in ‘pouring’ semen (or urine); thus Bacchanalian Mag. (1793): ‘O that [...] / My cock were turn’d into a tap, / To run when I did call’ Tabooed subseq. to Queen Victoria’s coronation, it has yet to return to the mainstream. Note DSUE: ‘always SE but since 1830 a vulgarism’ and OED (in late 19C) notes ‘the current name among the people, but, pudoris causa, not admissible in polite speech or literature’]",N,N,1450,2023,573,
cock robin,1,,N,N,1900,1900,0,
cockatoo,1,"[SE, punning on cock n.3 (1)]",N,N,1653,1653,0,
cockerel,1,"[cock n.3 (1) + pun on the bird, ‘a young cock’ (OED)]",N,N,1669,1669,0,
cockloft,1,"[SE cockloft, the room over the garret; cock n.3 (1)]",Y,N,1832,1832,0,
cod,8,"[SE cod, a bag; thus early 16C SE cod, the scrotum, which itself, despite Grose’s citations, is only slang in pl., i.e. cods n.1 (1)]",N,N,1500,2004,504,
cod-piece,15,[SE cod-piece: the flap on breeches which covered the male genitals worn until c.1600],N,N,1600,1707,107,
cods,16,"[SE cod, a bag, thus the scrotum; note use – in sing. – as a term of affection in Urquhart, The Complete Works of Rabelais (1653): ‘Come, my cod, let me coll (i.e. hug) thee till I kill thee’] / 1. (also cogs, coods) in pl., the testicles [the term was SE until 19C, when Victorian language prudery rendered it taboo].",N,N,1566,1989,423,
commodity,3,"[SE commodity, something available for sale or trade; in both senses the woman and/or her body are seen as no more than pieces of merchandise; thus Ward, The London Spy (1698): ‘Strumpets in the Streets were grown a scarce Commodity’]",Y,N,1654,1770,116,
concern,1,"[SE concern, a thing, an appurtenance]",Y,Y,1890,1890,0,
cony-burrow ferret,10,"[ DEFINING CONY BURROW ] 2. the vagina; thus a woman considered as a sexual object; thus cony-burrow ferret, the penis.",N,N,1594,1896,302,
cony-catcher,2,[cony n. (2)/cunny n. (1); play on cony-catcher n.1 ],N,Y,1680,1890,210,
copper-stick,2,"[note SE copper-stick, used to stir a laundry]",N,Y,1890,1896,6,
coral branch,11,[literary euph.],N,Y,1653,1890,237,
cork,3,[it is both a ‘stopper’ and it ‘bobs’ up and down],N,N,1779,1838,59,
corkscrew,1,,N,N,1798,1798,0,
couille bredouille,1,,N,N,1653,1653,0,
crack-hunter,2,,N,Y,1890,1896,6,
cracksman,1,[crack n.3 (1) + sfx -man],N,Y,1890,1890,0,
cranny-hunter,1,,N,Y,1890,1890,0,
creamstick,2,[cream n.1 (1) + SE stick/stick n. (1a); 20C+ use mainly US black],N,Y,1890,1904,14,
crimson chitterling,3,,N,Y,1653,1896,243,
crupper,1,"[SE crupper, the hind-quarters of a horse]",N,N,1836,1836,0,
cuckoo,1,[? cock n.3 (1)],N,Y,1890,1890,0,
cucumber,1,[resemblance],N,N,1888,2000,112,
cue,1,,N,N,1850,1850,0,
cullions,2,"[Fr. couillons, testicles] / the testicles.",N,N,1653,1661,8,
culls,1,[abbr. cullions n.] / the testicles.,N,N,1637,1637,0,
cunt plugger,1,"the penis; thus cunt plugging, sexual intercourse.",N,N,1888,1888,0,
cunt-stopper,1,,N,N,1888,1888,0,
cunt-stretcher,1,,N,N,1888,1888,0,
Cupid's battering ram,2,,N,N,1850,1879,29,
Cupid's sword,1,,N,N,1781,1781,0,
curtal,1,"[SE curtal, anything docked or cut short (orig. a horse’s tail)]",N,N,1613,1613,0,
customs officer,1,[he ‘works’ in the custom house n.],N,Y,1890,1890,0,
cutlass,1,,N,Y,1890,1890,0,
cutty gun,1,"[Scot./northern UK dial. cutty-gun, a short, i.e. ‘cut-down’ gun; image of the penis as a weapon]",N,Y,1890,1890,0,
Cyprian sceptre,2,[sceptre n.],N,N,1653,1653,0,
Cyprian wand,1,,N,N,1870,1870,0,
D—,1,,N,N,1660,1660,0,
dagger,9,,N,Y,1533,1993,460,
Daintie Davie,1,"slip in Daintie Davie (v.) (also slip in Willie Wallace) / (Scot.) of a man, to have sexual intercourse; thus Daintie Davie, a penis.",N,Y,1890,1890,0,
dangle,1,,N,N,1886,2001,115,
dard,1,"[Fr. dard, a dart; note synon. Fr. sl. dard + darder, ‘to fuck’]",N,Y,1890,1890,0,
diamond,1,"2. (US gay) in pl., the testicles [play on crown jewels under crown n.1 ].",N,N,1661,1661,0,
dibble,2,"[SE dibbler, a gardening implement with which one drills holes for planting]",N,Y,1870,1890,20,
dick,2,5. the penis [see Williams I:382 for discussion of possible 16C uses].,N,Y,1836,1890,54,
diddle,4,[diddle v.1 (1)],Y,Y,1654,1890,236,
dille,1,,N,N,1653,1653,0,
dilly,2,,N,N,1770,1850,80,
dirk,2,[proper name],N,Y,1833,1890,57,
dog,3,,Y,N,1640,1680,40,
doings,1,"[ext. of SE doing, an act, a piece of business, a transaction] / ... / 5. the testicles; the male genitals.",N,N,1888,2014,126,
dolly,2,"[f. a variety of jokes in which a supposedly innocent girl plays with a man’s ‘dolly’, which then spits at her, vomits etc.; e.g. cits. 1938, 1972]",Y,Y,1890,1890,0,
Don Cypriano,3,[play on Sp. honorific Don + Cyprian adj.; coined by Sir Thomas Urquhart for his translation of Rabelais (1653–93)],N,Y,1653,1890,237,
dong,1,"[abbr. ding-dong n.3 , which predates general regional sl. use]",N,N,1890,2006,116,
doodle,11,[20C+ use of all senses is mainly US],Y,N,1785,1945,160,
doodle-do(o),,,,,,,0,
doolittle,1,a euph. for a penis; the implication is of impotence.,N,N,1733,1733,0,
down right to it,1,,N,N,1653,1653,0,
doxy,1,,N,N,1708,1708,0,
Dr Johnson,1,[ext. of johnson n. (1); Partridge’s suggestion that ‘there was no one Dr Johnson was not prepared to stand up to’ is unlikely],N,Y,1890,1890,0,
dragon,1,,N,N,1672,1672,0,
dresser,1,,N,N,1653,1653,0,
dropping member,3,"the flaccid penis, esp. when afflicted with (temporary) impotence or with venereal disease.",N,Y,1811,1896,85,
drum,2,,N,N,1664,1675,11,
drummer,1,"usu. in pl., the testicles.",N,N,1831,1831,0,
drumstick,4,,N,Y,1664,1904,240,
eel,4,[resemblance],N,N,1608,1836,228,
egg,6,"1. in pl., the testicles.",N,N,1466,2023,557,
end,2,(a) the penis; esp. in get one’s end away,Y,N,1596,1981,385,
enemy,1,,Y,Y,1890,1890,0,
engine,17,"1. (also engine of bliss, ...of seduction) the penis.",Y,N,1616,1898,282,
evesdropper,1,[pun on SE eaves + eavesdropper],N,N,1653,1653,0,
eye-opener,2,1. the penis [cf. arse-opener under arse n.].,N,Y,1890,1896,6,
father abraham,1,,N,Y,1890,1890,0,
father confessor,2,[play on SE + ? ref. to popular image of the venal priest],N,Y,1890,1896,6,
faucet,1,,Y,N,1759,1759,0,
female adamant,1,,N,N,1653,1653,0,
ferret,7,"[SE ferret; like the animal, it burrows into holes; cits. 1599 and c.1650 are double entendres]",N,N,1594,1995,401,
fescue,5,"[SE fescue, ‘a small stick, pin, etc. used for pointing out the letters to children learning to read; a pointer’ (OED)]",N,N,1613,1748,135,
fiddle,10,"[SE fiddle, a violin, i.e. resemblance or sound or one ‘plays’ on it]",Y,N,1523,1833,310,
fiddle-bow,1,[it ‘plays’ sense 2 above],N,Y,1890,1890,0,
fiddle-diddle,1,[diddle n.2 (1)],N,Y,1890,1890,0,
fiddlestick,11,[resemblance],N,Y,1600,1890,290,
finger,1,,N,N,1604,1604,0,
fixed bayonet,1,1. an erect penis.,N,Y,1890,1890,0,
flapdoodle,1,"[SE flap, something hanging down + doodle n.2 (1) although this predates]",Y,Y,1890,1890,0,
flapper,1,1. the (flaccid) penis.,Y,Y,1890,1890,0,
flip-flap,3,1. the penis [it ‘flaps’ around].,N,Y,1653,1904,251,
floater,1,(b) the (flaccid) penis.,N,Y,1890,1890,0,
flute,10,"[note double entendre in D’Urfey, Pills to Purge Melancholy (1719): ‘Sawney’s Flute can only do’t, / And Pipe a Tune to please me’]",N,Y,1670,1897,227,
foreman,1,[it stands at the forefront of the body],N,Y,1890,1890,0,
fork,3,,N,Y,1834,1956,122,
fornicating engine,1,[engine n./member n.1 /tool n.1 (1a)],N,Y,1890,1890,0,
fornicator,1,,N,Y,1890,1890,0,
fountain (of love),1,2. the (ejaculating) penis.,Y,N,1798,1798,0,
frigger,1,[frig v.],N,N,1684,1684,0,
futilletie,1,,N,N,1653,1653,0,
gadso,1,"[Ital. cazzo, the penis]",N,Y,1890,1890,0,
gap-stopper,1,,N,Y,1890,1890,0,
garden engine,2,"[engine n. (1) / play on SE garden engine, ‘a portable force-pump used for watering gardens’ (OED)]",N,Y,1890,1896,6,
gardener,2,"[which ‘works’ in the garden n. (1)] / the penis; cit. 1691 is double entendre, the play is on both one’s wife’s lovers and their penises.",N,Y,1691,1890,199,
gaying instrument,3,[gay adj. (1)/gay adj. (2) + SE instrument],N,Y,1811,1896,85,
gear,12,"[14C+ SE gear, accoutrements] / ... / 2. the male genitals; thus gear-itch, lecherousness.",Y,N,1520,1790,270,
generating tool,5,"[SE generate, to procreate + tool n.1 (1a)] / 1. the penis. / ... / 2. in pl., the testicles.",N,Y,1653,1890,237,
generation tool,2,"1. in pl., the testicles. / ... / 2. the penis (cf. instrument n. (1b)).",N,N,1664,1734,70,
gentleman below stairs,1,,N,N,1748,1748,0,
gentleman-usher,1,"[? pun on SE gentleman usher of the Black Rod; note Williams: ‘gentleman usher [...] a male attendant on a lady, sometimes providing a sexual or pimping service’] / 1. the penis; cit. 1719 is a double entendre.",N,N,1719,1719,0,
giblets,1,,N,N,1546,1546,0,
gimcrack,1,,N,N,1683,1683,0,
gingambobs,1,[SE jiggumbob] / ... / 2. the testicles.,N,N,1672,1672,0,
girl-catcher,1,,N,N,1890,1890,0,
globe,1,"1. in pl., the testicles.",N,N,1695,1695,0,
goods,1,,N,N,1748,1748,0,
goose's neck,2,"[supposed resemblance] / the penis; thus goose neck and giblets, the male genitals; have a bit of goose’s neck, to have sexual intercourse.",N,Y,1786,1890,104,
goose's neck,2,"[supposed resemblance] / the penis; thus goose neck and giblets, the male genitals; have a bit of goose’s neck, to have sexual intercourse.",N,Y,1786,1890,104,
gooser,1,[goose v.3 (4)],N,Y,1890,1890,0,
gravy-giver,1,,N,Y,1890,1890,0,
grinding tool,1,"[grind v. (1a) + tool n.1 (1a)] / the penis; thus grind one’s tool, to copulate.",N,Y,1890,1890,0,
grist,1,,N,N,1683,1683,0,
gristle,7,"[SE gristle-bone, any part of the body consisting of gristle]",N,Y,1619,1995,376,
gully,1,,N,N,1817,1817,0,
gully-raker,2,[? gully (hole) under gully n.2 + SE raker; or play on earlier use of sense 3],N,Y,1890,1904,14,
gun,11,"2. the penis; thus shoot one’s gun, get one’s gun, to ejaculate, to masturbate [the gun as ‘weapon’].",Y,N,1663,1989,326,
gunstick,1,,N,N,1654,1654,0,
gutstick,2,,N,Y,1890,1896,6,
hair-divider,3,,N,Y,1811,1988,177,
hammer,7,"1. (later use US black) the penis; cit. 1719 refers, as a double entendre, to the ‘hammer’ of a stereotypically lecherous tinker.",N,N,1572,1835,263,
handful,2,"1. (UK Und.) a long penis, the unit of measurement of a penis.",N,N,1660,1790,130,
handle,2,1. (later use US) the (root of the) penis.,N,N,1710,1900,190,
hanger,2,2. the flaccid penis.,N,N,1653,1788,135,
hanging johnny,1,[johnny n.1 (8)] / the flaccid penis.,N,Y,1890,1890,0,
hard bit,1,an erect penis,N,Y,1890,1890,0,
hatchet,1,,N,N,1708,1708,0,
he,1,"[the dating is almost random, as Partridge says, this personification is ‘prob. almost immemorial’]",N,N,1593,1984,391,
head,3,(a) the end of the penis.,N,N,1834,1904,70,
honey pipe,1,,N,N,1653,1653,0,
horn,7,[resemblance to an SE horn],N,N,1593,2000,407,
hornpipe,1,[horn n.2 ],N,N,1772,1772,0,
horse tarsus,1,,N,N,1680,1680,0,
horseman,1,,N,N,1896,1896,0,
hunter,1,,N,Y,1890,1890,0,
implement,1,,N,N,1884,1884,0,
impudence,1,,N,N,1783,1783,0,
in-and-out,3,,N,N,1653,1834,181,
inch,10,"1. used, by metonymy, to describe the penis; a specific size is usu. appended; thus —incher n., a penis of a specified size.",N,N,1614,1995,381,
instrument,28,(b) the penis; ext. as instrument of copulation/generation/propagation (cf. generation tool n.).,N,N,1505,1904,399,
Irish cane,1,"1. a shillelagh, thus the penis.",N,N,1748,1748,0,
Irish root,1,,N,Y,1890,1890,0,
iron,4,[later use is US; cits. at 1533/1719 are double entendre],N,N,1533,1884,351,
it,7,[euph.],Y,N,1654,2000,346,
j.t.,1,[abbr. John Thomas n.],N,N,1883,1980,97,
jack,6,"[SE jack, a device for lifting things]",N,N,1604,1898,294,
jack in the box,1,5. the penis [it ‘pops up’].,N,Y,1890,1890,0,
jack weight,1,,N,N,1661,1661,0,
jacob,2,[the biblical story of Jacob’s ladder] / ... / 3. the penis [it ‘climbs up’ the vagina].,N,Y,1800,1890,90,
jelly-bag,1,1. the scrotum [bag n.1 (1a)].,Y,Y,1890,1890,0,
jewel,10,"1. (also jewel bag, jewelry) usu. in pl., the male genitals.",N,N,1465,1916,451,
jigger,1,"[? jigger n.1 or jigger n.5 (1) or SE jig, to move up and down]",Y,Y,1890,1890,0,
jigging bone,2,[ jig v.1 (1) / jiggle v.+ SE bone/bone n.1 (1a)],N,Y,1890,1896,6,
jockey,4,"[jockum n.; note double entendre on a man’s name in D’Urfey, Pills to Purge Melancholy, (1719): ‘You’ve been ranting, playing the Wanton, / Keeping of Jockey Company’]",N,N,1612,1741,129,
jockum,9,[ety. unknown],N,Y,1566,1904,338,
jocky,4,[jockum n.],N,N,1612,1688,76,
john,1,4. the penis [abbr. John Thomas n. (1)].,N,N,1838,1914,76,
John Thomas,10,"1. (also John Thomson, Master John Thomas, Saint John Thomas, Sir Thomas) the penis. / ... / 2. a liveried servant [generic name or ? like the former, the latter ‘stands’ in the presence of a lady].",N,N,1653,2012,359,
johnny,3,8. (also master johnnie) the penis; also attrib. [abbr. John Thomas n. (1)].,N,N,1833,2004,171,
joint,7,,N,N,1605,1917,312,
jolly kyle,1,,N,N,1653,1653,0,
jolly member,1,,N,Y,1890,1890,0,
Julius Caesar,2,,N,Y,1890,1904,14,
jumble-giblets,1,"the penis; thus do/perform a jumble-giblets, to have sexual intercourse.",N,Y,1890,1890,0,
kennel-raker,1,[SE raker; SE kennel-raker ‘a raker of the gutter; a scavenger; also used as a term of abuse’ (OED)],N,Y,1890,1890,0,
kerp,2,[backsl. prick n. (1)],N,N,1882,1998,116,
key,14,"[lit. and fig. uses of SE key] / 1. the penis [the complement to keyhole n.; see double entendres in D’Urfey, Pills to Purge Melancholy (1719), e.g. ‘Ne’er hope to keep a find Cabinet lock’d, / When every Furr’d Gown has a Key, Sir’ and ‘To have her stock, / So close kept Lock’d, / And put a Key to her Till’].",N,N,1564,1900,336,
kicky-wicky,1,"[? Fr. quelquechose, something]",N,N,1602,1602,0,
kit,1,4. the penis and testes.,N,Y,1890,1890,0,
knack,1,"[SE knack, a trinket]",N,Y,1890,1890,0,
knackers,3,[dial.] / 1. the testicles.,N,N,1837,2011,174,
knick-knack,2,"[SE knick-knack, a pleasing or curious trifle]",Y,N,1686,1896,210,
knitting needle,1,"the penis; thus knit, to masturbate.",N,N,1607,1607,0,
knob,7,,Y,N,1850,2012,162,
knocker,5,[knock v.],N,Y,1696,1937,241,
knocker,1,"[knock v.] / ... / 2. in pl., as a part of the body. / (a) the testicles [they ‘knock together’ but note knackers n.].",N,N,1889,1977,88,
knot ??? ,,,,,,,0,
ladies' lollipop,1,,N,Y,1890,1890,0,
ladies' plaything,7,[note ety. of dildo n.],N,Y,1660,1901,241,
lady ware,2,"[SE ware, goods] / 1. the penis (and testes).",Y,Y,1592,1890,298,
lady's jewels,1,[note jewel n. (1)] / the testicles.,N,N,1748,1748,0,
lamp of light,1,,N,Y,1890,1890,0,
lance,19,,N,N,1499,1999,500,
lance of love,3,,N,Y,1890,1904,14,
langolee,3,"[Welsh trangluni, tools]",N,Y,1793,1890,97,
lather-box,1,the scrotum.,N,N,1834,1834,0,
lather-maker,1,,Y,N,1896,1896,0,
leather stretcher,1,,N,Y,1890,1890,0,
leather-dresser,1,,N,Y,1890,1890,0,
leek,2,[a national emblem] / 1. (mid-17C; mid-19C) the penis.,N,N,1661,1834,173,
length,1,"2. the penis, usu. by metonymy an act of sexual intercourse; usu. with v., give a length, throw a length etc. [i.e. the ‘length’ of the penis].",N,N,1870,1947,77,
life preserver,2,"1. the penis [pun on SE life preserver, a loaded bludgeon].",N,Y,1890,1896,6,
limb,2,,N,N,1673,1833,160,
linky pinky,1,,N,N,1653,1653,0,
liquorice stick,1,[stick n. (1a)/prick n. (1)],N,N,1573,1753,180,
little davy,1,,N,Y,1890,1890,0,
little man,1,,N,N,1790,1790,0,
live rabbit,1,"the penis; thus have a bit of rabbit pie, to have sexual intercourse.",N,Y,1890,1890,0,
live sausage,3,,N,Y,1653,1999,346,
liver disturber,2,(US) a very large penis.,N,N,1870,1890,20,
lob,1,"[SE lob, something pendulous]",N,N,1896,1896,0,
lobcock,9,"[SE lob, a country bumpkin + cock n.3 (1)] / ... / 2. (also lobprick) a large, flaccid penis; thus attrib. lobcock, flaccid, limp.",N,N,1606,1896,290,
lobster,1,,N,Y,1890,1890,0,
lodger,1,,N,Y,1890,1890,0,
lollipop,4,2. in sense of that which is sucked or a play on sucker n.1 (3a) / (a) the penis.,N,N,1836,1892,56,
longtom,1,"[note naut. long tom, a long-barrelled, deck-mounted gun]",N,N,1904,1904,0,
love apples,3,"[note Fr. pomme d’amour; Ger. liebesapful, the fruit of the tomato] / the testicles",N,N,1784,1896,112,
love dart,1,,N,Y,1890,1890,0,
love staff,2,,N,N,1653,1890,237,
love truncheon,1,,N,N,1888,1997,109,
luggage,1,1. the male genitals [pun on bag n.1 (1a)].,N,Y,1890,1890,0,
lullaby,1,[it ‘puts one to sleep’],N,Y,1890,1890,0,
lute,2,"[both doubles entendres: an ‘instrument’ upon which one ‘plays’] / ... / 2. the penis; thus play a lute solo, to masturbate.",Y,N,1625,1684,59,
machine,8,,Y,N,1731,1901,170,
magic wand,1,[either a tribute to masculine power or the myth that sexual intercourse somehow puts an end to quarrels],N,N,1866,1969,103,
male-mules,1,[play on SE; poss. used only in Urquhart’s trans. of Rabelais (1653)],N,N,1653,1653,0,
man,2,,N,N,1837,2013,176,
man root,3,,N,Y,1890,1904,14,
man Thomas,9,,N,N,1680,1845,165,
man's flesh,1,,N,N,1660,1660,0,
mandrake,1,"[SE mandrake, ‘Any plant of the genus Mandragora…characterized by very short stems, thick, fleshy, often forked, roots, and fetid lance-shaped leaves. The mandrake is poisonous, having emetic and narcotic properties, and was formerly used medicinally. The forked root is thought to resemble the human form, and was fabled to utter a deadly shriek when plucked up from the ground’ (OED)]",N,N,1784,1784,0,
marbles,1,"[resemblance, but note marble halls n.] / the testicles.",N,N,1896,1896,0,
marrow-bone,1,,N,N,1672,1672,0,
marrow-pudding,1,,N,N,1719,1984,265,
marrowbone and cleaver,4,"[note Grose, 1785: ‘marrow bones and cleavers, principal instruments in the band of rough musick; these are generally performed on by butchers, on marriages, elections, riding skimmington, and other public, or joyous occasions’]",N,Y,1654,1904,250,
mast,5,the (erect) penis.,N,N,1741,1900,159,
