Word,Date,Notes Citation,Green Citation,Citation
in and out,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"And some of the other women would give these names [...] my lusty live sausage, my crimson chitterlin, rump-splitter, shove-devil, down right to it, stiff and stout, in and to, at her again, my coney-borrow-ferret, wily-beguiley, my pretty rogue."
evesdropper,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"And some of the other women would give these names, my Roger, my cockatoo, my nimble-wimble, bush-beater, claw-buttock, evesdropper, pick-lock, pioneer, bully-ruffin, smell-smock, trouble-gusset, my lusty live sausage."
Cyprian sceptre,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"Another again [would call it] her branch of coral, her placket-racket, her Cyprian sceptre, her tit-bit, her bob-lady."
crimson chitterling,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"And some of the other women would give these names [...] my lusty live sausage, my crimson chitterlin, rump-splitter, shove-devil, down right to it, stiff and stout, in and to, at her again, my coney-borrow-ferret, wily-beguiley, my pretty rogue."
coral branch,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"Another again [would call it] her branch of coral, her placket-racket, her Cyprian sceptre, her tit-bit, her bob-lady."
cony-burrow ferret,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"And some of the other women would give these names [...] my lusty live sausage, my crimson chitterlin, rump-splitter, shove-devil, down right to it, stiff and stout, in and to, at her again, my coney-borrow-ferret, wily-beguiley, my pretty rogue."
cockatoo,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"And some of the other women would give these names, my Roger, my cockatoo, my nimble-wimble, bush-beater, claw-buttock, evesdropper, pick-lock, pioneer, bully-ruffin, smell-smock, trouble-gusset, my lusty live sausage."
claw-buttock,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"And some of the other women would give these names, my Roger, my cockatoo, my nimble-wimble, bush-beater, claw-buttock, evesdropper, pick-lock, pioneer, bully-ruffin, smell-smock, trouble-gusset, my lusty live sausage."
bush-beater,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"And some of the other women would give these names, my Roger, my cockatoo, my nimble-wimble, bush-beater, claw-buttock, evesdropper, pick-lock, pioneer, bully-ruffin, smell-smock, trouble-gusset, my lusty live sausage."
bully-ruffian,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 44,"And some of the other women would give these names, my Roger, my cockatoo, my nimble-wimble, bush-beater, claw-buttock, evesdropper, pick-lock, pioneer, bully-ruffin, smell-smock, trouble-gusset, my lusty live sausage."
sugar-stick,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk I 152,[note] What our translator calls sometimes the carnal trap-stick (though the ladies call it their sugar-stick).
catso,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) I Bk 1 152,Doth not he die like a good fellow that dies with a stiff catso?
John Thomas,1653,,Urquhart (trans.) Gargantua and Pantagruel (1927) Bk I Ch. xvii,"Then, with a smile, he undid his magnificent codpiece and, bringing out his john-thomas, pissed on them."
ballocks,1460,,Towneley Mysteries ‘Play of the Dice’ line 166,I haue brysten both my balok-stones.
pen,1607,,Tourneur Revenger’s Tragedy (1967) II ii,"This vicious old Duke’s worthily abused, The pen of his bastard writes him cuckold."
lute,1684,,Tongue Combatants 17,"What tho in Dancing I had Skill / And well could Touch the Lute, / Those things converted are to ill / And made of Disrepute."
shuttle,1821,,Tom Shuttle and Blousalinda [title].,
piston,1886,,Tilly Touchitt 42,Passing up the slippery sheath thus newly opened [...] piaston and socket work with a vengeance.
wedge,1886,,Tilly Touchitt 38,He sought with steady force to send the stiff in-driven wedge home to its ultimate destination.
battering piece,1886,,Tilly Touchitt 36,The more formidable battering engine about [...] to be brought to bear against the little breach.
dangle,1886,,Tilly Touchitt 13,"Such a strange, long, lolloping dangle-dumdee"
cock,1780,,"The only True LIST, of those celebrated SPORTING LADIES [broadsheet]","There with be matching of Cocks, Boxing, Jugling, Humbugging &c."
ninepin,1780,,"The only True LIST, of those celebrated SPORTING LADIES",[broadsheet] Miss Betsey B-st [...] is well known to squeeze a straw or take in a ninepin.
ballocks,1850,,"The C — , The Open C — [broadside]","Her black hair bristl'd, her white arse roll'd, / And rattl'd about my boll—ks so cold."
tail,1746,,Teague-Root Display’d cover,"Paddy Strong-Cock, Fellow of Drury-lane [...] He moveth his Tail like a Cedar, and his Strength lyeth in the Navel of his Belly."
cock,1746,,Teague-Root Display’d cover,"Paddy Strong-Cock, Fellow of Drury-lane [...] He moveth his Tail like a Cedar, and his Strength lyeth in the Navel of his Belly."
root,1746,,Teague-Root Display’d 10,"At the Bottom of the Root issue two round Globes, that are pendulous in a Bag."
bag,1746,,Teague-Root Display’d [pamphlet],"At the Bottom of the Root issue two round Globes, that are pendulous in a Bag."
egg,1466,,Talk of Ten Wives in Furnivall Jyl of Brentford 32,A sory laueroke satt ... Opon two adyll eggis.
club,1732,,T. Stretser Arbor Vitae in Cabinet of Love (1739) 204,"That of this Tree that Club was made, with which the Bully Hero’s said t’have tam’d the fifty Daughters wild of Thespis."
pounder,1690,,T. Shadwell Scowrers Act II,I’ll lay her on board with my two Pounders and my Patereras [i.e. a small gun that fired stones].
chitterling,1687,,T. Shadwell Juvenal V 312,"’Tho’ all the Night he dallies, ’tis in vain, It still does a poor Chiterlin remain."
thing,1845,,T. Rowlandson Pretty Little Games (c.1872) Plate iv,"A larger thing would give more pleasure, / She always loves to have full measure. / And who for greater joys do hunt / Than rising bubbies and a C—t."
man Thomas,1845,,T. Rowlandson Pretty Little Games (1872) plate viii,"With holy love he rolls his eyes, / Yet view his stout man Thomas rise."
sword,1845,,T. Rowlandson Pretty Little Games (1872) plate ix,"His amorous sword of pleasure draws, / Blest instrument in natures cause."
instrument,1845,,T. Rowlandson Pretty Little Games (1872) plate ix,"His amorous sword of pleasure draws, / Blest instrument in natures cause."
generating tool,1845,,T. Rowlandson Pretty Little Games (1872) plate iv 38,"His generation tube he shews. / Between her swelling breasts it goes. / His fingers to her touch hole sent, / Alas to give her small content."
pike,1845,,T. Rowlandson Pretty Little Games (1872) plate i,"Across his legs the nymph he takes, / And with St. George a motion makes / She ever ready in her way / His pike of pleasure keeps in play."
cony-burrow ferret,1640,,T. Rawlins Rebellion IV i,"If you cann’t, here’s them that can ferrit in a Cunny burow without a provocative, Ile warrant you."
bodkin,1640,,T. Rawlins Rebellion I i,Then must I use my Bodkin ’twill never please else [...] Wee Taylors are the men [...] Ladies cannot live without.
worm,1651,,T. Randolph Hey for Honesty IV i,When do the lecherous worms and thee begin To act adultery in the winding-sheets?
needle,1632,,T. Nabbes Covent Garden I vi,"He means you should lie under him [...] Indeed, Mistris, ’tis a cold corner, pray turne it to the South, and let my needle run in your Diall."
lady ware,1592,,T. Kyd Soliman and Perseda G3,"The ladies of Rhodes, hearing that you have lost a capital part of your lady-ware have made their petition to Cupid to plague you above all other, as one prejudicial to their muliebrity."
member,1592,,T. Kyd Soliman and Perseda G2,They lopt a collop of my tendrest member.
fiddle,1654,,T. Killigrew Thomaso Pt I IV ii,"You let me cool so long upon’t, my desire is over; and if she do’s not use me mighty kindly, and put my toy in tune, my Fiddle will make no Musick."
plum,1654,,T. Killigrew Thomaso Pt 1 I iv,"Thou lovest him, ... whether for taking thy Maiden-head, or giving thee Plums. [Ibid.] I v: If he go into her house she has all she desires; and will either pluck his Plums by flattery, or else so shake and cudgel the Tree, he’l be glad to let them fall."
tail,1642,,T. Killigrew Parson’s Wedding (1664) V iv,"Who would choose such weazels as we see daily marry’d? that are all head and Tail, crooked, dirty, Sold Vermin, predestin’d for Cuckolds, painted Snails, with houses on their backs, and horns as big as Dutch cows; would any woman marry such?"
member,1642,,T. Killigrew Parson’s Wedding (1664) I iii,"She converses with naked men, and handles all their members."
yard,1640,,T. Heywood Love’s Mistress IV i,"If any of our Nimphs ... buy any commodity by the yard, doe they not wish it long."
jewel,1631,,T. Heywood Faire Maid of the West Pt I V i,Is this your Moorish preferment to rob a man of his best jewel.
nut,1538,,T. Elyot Thesavrvs n.p.,"Glans, ... the foreparte or nutte of a mans yerde."
root,1675,,T. Duffet Psyche Debauch’d Act I,"Adzboars Prince Nick, chain yours. If None-zo-vair zay do’t, chill buss thy root."
worm,1674,,T. Duffet Epilogue Spoken by Heccate and Three Witches 43,"When little Worm is prais’d it will so brag o’t, That ’twill set Tail on end of bigger Maggot."
pintle,1578,,T. Cooper Thesaurus linguæ Romanæ & Britannicæ n.p.,"Satyrion, f. g. herba. [...] Apothecaries call it [...] Vocant testiculum sa∣cerdotis. Priestes pintle: raggewourt"
rudder,1624,,T. Carew A Rapture (1927) 8,"My Rudder, with thy bold hand [...] thou shalt steer and guide [...] into Love’s channell, where it shall Dance."
bag,1620,,T. Carew A Rapture (1927) 7,"I will rifle all the sweets, that dwell / In my delicious Paradise, and swell / My bagge with honey, drawne forth by the power / Of fervant kisses."
scut,1702,,T. Brown Letters from the Dead to the Living in Works (1760) II 259,"Thirty pair of haunches, both bucks and does, have been wagging their scuts at one another within the compass of one evening."
shabroon,1707,"Thomas Brown, ""From Bully Dawfon to Bully W-----n,"" in The Works of Mr. Thomas Brown, vol. 2, Letters from the Dead to the Living, 4th ed. (London, 1707), 73-4, https://books.google.com/books?id=BCIJAAAAQAAJ.",T. Brown Letters from the Dead to the Living in Works (1760) II 184,"that Whore my Wife too, that us'd to open her Sluce and let in an inundation of Shabroons to gratify her Concupiscence"
engine,1700,,T. Brown in Rochester et al. Works 122,"‘Marriage’ To cure the damn’d Lust of your Wife’s Titilation, You may use all the Engines and Pumps in the Nation, As well you may piss out the last Conflagration."
bow,1648,,T. Brown Dozen of Drunkards 13,No Jephthah’s daughter should bewaile her Virginity if she would but bend her string to his bow.
raw meat,1700,,T. Brown Amusements Serious and Comical in Works (1927) 120,"I’ll warrant your poor cuckolds are hovering about the change to hear what news from Flanders, whilst you, like a couple of hollow-bellied wh---s, are sailing up to Spring Gardens to cram one end with roasted fowls, and other with raw sausages."
sausage,1700,,T. Brown Amusements Serious and Comical in Works (1744) III 137,"A couple of hollow-belly’d wh---s [...] heading up to Spring Gardens to cram one end with roasted fowls, and the other with raw sausages."
pipe,1700,,T. Brown Amusements Serious and Comical in Works (1744) III 13,You can no sooner prepare yourself to make water [...] but you shall have an obliging female look thro’ her fingers to take the dimensions of the pipe that emits it.
staff,1846,,Swell’s Night Guide 90,"Dutch Frow Christine, who said, – He cannot stand it, and I cannot stand it [...] he shall churn all night, but the butter will not come, and he bends de churn-staff."
fork,1846,,Swell’s Night Guide 35,"Many of the French importations [...] attract hither many of the French cruizers stationed on the coast of St. James, Regent-street. [...] Though the swell snob, who is always up to his fork in leather, has measured most of these ‘polley wooes,’ as he classically terms them, he says you can hardly tell the difference, in the dark, between the French kid and the good English calf."
agitator,1846,,Swell’s Night Guide 108/1,"Agitator, see pego, life plant."
pego,1846,,Swell’s Night Guide 107/2,Ace of spades [...] see pego and cartsue.
catso,1846,,Swell’s Night Guide 107/2,Ace of spades [...] see pego and cartsue.
ace,1846,,Swell’s Night Guide 107/2,"Ace of spades [...] also the heart-stirring monosyllable, see pego and cartsue."
root,1728,,Supplement to the Profund 15,The Ducke sore tickleth his Erse Roote.
spout,1759,,Sterne Tristram Shandy (1949) 370,"You have cut off spouts enow, replied Yorick."
pump-handle,1759,,Sterne Tristram Shandy (1949) 338,"Are not trouse, and placket-holes, and pump-handles – and spigots and faucets, in danger still, from the same association?"
faucet,1759,,Sterne Tristram Shandy (1949) 338,"Are not trouse, and placket-holes, and pump-handles – and spigots and faucets, in danger still, from the same association?"
ladies' plaything,1736,,St James’s Register 13,Did never any poor Woman lose her Play-thing before?
arbor vitae,1736,,St James’s Register 13,You [i.e. a deserted woman] can’t bear the Loss of your Arbor Vitae.
gentleman below stairs,1748,,Spy on Mother Midnight III 24,"It was in vain to dissemble any longer, the gentleman/ below slairs slood stoutly for his prerogative, and inform'd Sally, with what species of the Cholick her bed-fellow was afficted."
bauble,1748,,Spy on Mother Midnight II 5,"[D]isconsolate Widows may be supported by a Stick of true English Oak and not oblig’d to spend their Substance on foreign [i.e. ‘Greeks, Jews and Infidels’] Baubles of an enormous Size but bad Metal."
Irish cane,1748,,Spy on Mother Midnight I 28,"I know most Ladies, who all now wear Sticks, are fond of a three-corner’d Irish Cane; but, take my Word on't, the knowing Ones are better pleas'd with a Yorkshire Hunter of a middle Size, which I take to be seven, or at most, eight Inches."
sugarcane,1748,,Spy on Mother Midnight I 26,"I can tell you [...] some certain Signs, by which you may judge of the Qualities of any Sugar-Cane you may have a Mind to buy [...] 27: I must give my Voice for the Seven [inches] [...] for, I believe, on a general Survey, there may be more Sugar-Canes of that Size, and under by much, than are above it."
commodity,1748,,Spy on Mother Midnight I 25,"[T]here are Ways and Means to come at the Nature of the Commodity with tolerable Certainty; and [...] it's pretty much the Fashion [...] to have a Specimen before-hand, and purchase upon liking."
staff,1748,,Spy on Mother Midnight I 24,"[I]f he is to pass a green Brook or so, the Length of your Staff may do, and then but indifferently."
yard,1748,,Spy on Mother Midnight I 22,"mot. mid.: I’ll pawn my Life, she would soon learn to know how many Inches goes to a Yard, as well as the best of us [...] mrs. not.: As far as my Experience can reach, six or seven Inches will do as well."
thing,1748,,Spy on Mother Midnight 28,"Keep it in a due Position, and give it its proper Motion; and, I think, in that lyes the Beauty of the Thing, and the Pleasure of the Use of it."
marrowbone and cleaver,1800,,Sporting Mag. Apr. XVI 27/2,"She was accompanied by the two Master Tripes, one on the marrowbone and cleaver"
end,1596,,Spenser Faerie Queene Bk IV Canto vii,She staid not th’utmost end thereof to try.
pen,1834,,song title in Libertine’s Songster in Spedding & Watt (eds) I 143,The Gentleman’s Pen and the Lady’s Ink-Stand!
ramrod,1836,,song title in Gentleman’s Private Songster in Spedding & Watt (eds) Bawdy Songbooks (2011) III 380,"The Ramrod and the Balls, or, Military Tactics."
you know what,1833,,song title in Funny Songster in Spedding & Watt (eds) Bawdy Songbooks (2011) III 35,John Long and His — I Know What.
John Thomas,1837,,song title in Flash Olio in Spedding & Watt (eds) Bawdy Songbooks (2011) III 185,John Thomas and Peggy Perkins.
member,1522,,Skelton Why Come Ye Nat to Courte? line 209,"And Asmodeus of hell Maketh his membres swell With Dalyda to mell, That wanton damosell."
fiddle,1523,,Skelton Garlande or Chapelet of Laurell line 740,"What blunderar is yonder, that playth didil diddil? He fyndith fals mesuris out of his fonde fiddill."
lance,1499,,Skelton Bowge of Courte line 407,"Had I as good an hors as she is a mare [...] Who rydeth on her, he nedeth not to care, For she is trussed for to breke a launce."
lance,1514,,Skelton Agenst Garnesche i line 16,"Thow ye be lusty as Sir Lybyus, launces to breke, Yet your contenons oncomly, yor face ys nat fayer."
jewel,1881,,Sins of the Cities of the Plain 9,How I should like to handle such a manly jewel.
charms,1881,,Sins of the Cities of the Plain 49,"We lay for a short time side by side on the bed, kissing and toying with the most attractive charms of each other’s person."
member,1881,,Sins of the Cities of the Plain 37,He began to frig my stiff member.
tool,1881,,Sins of the Cities of the Plain 15,I pointed the splendid tool outwards [...] and frigged him.
balls,1881,,Sins of the Cities of the Plain 14,A priapus nearly ten inches long [...] underhung by a most glorious pair of balls.
tosser,1881,,Sins of the Cities of the Plain 13,"‘Did you ever see a finer tosser in your life?’ he replied, opening his trousers and exposing a tremendous prick."
thing,1881,,Sins of the Cities of the Plain 10,"Put your thing up, I suppose you mean."
toy,1896,,Sheaves from an Old Escritoire 98,"We [...] settled down to staid home life, of course, enlivened by Charlie’s little toy."
boy,1896,,Sheaves from an Old Escritoire 70,[She] gave me a shy little kiss [...] Oh! delightful! it made the boy still more proud; in fact he began to throb with delight [...] Still holding my boy she pulled the foreskin backwards and forwards a few times.
tom,1896,,Sheaves from an Old Escritoire 53,"In a moment his naked Tommy, with its pink head was in her hand [Ibid.] 92: He endetvoured [sic] to thrust his Tommy into my palpitating quim, but the little entrance was too small for his large boy."
knob,1896,,Sheaves from an Old Escritoire 108,He gently forced his way through the tender lips as they tightened round the knob.
root,1608,,"Shakespeare, Pericles IV vi","Why, your herb-woman [i.e. a bawd]; she that sets seeds and roots of shame and iniquity."
eel,1608,,"Shakespeare, Pericles IV ii",Thunder shall not so awake the beds of eels as my giving out her beauty stirs up the lewdly-inclined.
poking stick,1610,,Shakespeare Winter’s Tale IV iii,For my lads to give their dears; Pins and poking sticks of steel; What maids lack from head to heel.
potato-finger,1602,,Shakespeare Troilus and Cressida V ii,"How the devil Luxury, with his fat rump and potato-finger, tickles these together!"
lance,1602,,Shakespeare Troilus and Cressida I iii,"The Grecian dames are sunburnt, and not worth the splinter of a lance."
horn,1593,,Shakespeare Taming of the Shrew IV i,"curt.: Away, you three-inch fool! I am no beast. gru.: Am I but three inches? why, thy horn is a foot; and so long am I at the least."
bauble,1595,,Shakespeare Romeo and Juliet II iii,"This drivelling love is like a great natural, that runs lolling up and down to hide his bauble in a hole."
poperin pear,1595,,Shakespeare Romeo and Juliet II i,"O, that she were / An open et-caetera, thou a poperin pear!"
tail,1604,,Shakespeare Othello III i,"clo.: Are these [...] wind-instruments? 1st muse.: Ay, marry, are they, sir. clo.: O! thereby hangs a tail. 1st muse.: Whereby hangs a tale, sir? clo.: Marry, sir, by many a wind-instrument that I know."
root,1597,,Shakespeare Merry Wives of Windsor IV i,"eva: Remember, William; focative is caret. quick: And that’s a good root."
pen,1596,,Shakespeare Merchant of Venice V i,I’ll mar the young clerk’s pen.
beef,1603,,Shakespeare Measure for Measure III ii,"Troth, sir, she has eaten up all her beef, and is herself in the tub."
sword,1595,,Shakespeare Love’s Labour’s Lost V ii,"Dumaine was at my service, and his sword: ‘No point,’ quoth I: my servant was mute."
poll axe,1595,,Shakespeare Love’s Labour’s Lost V ii,"Your lion, that holds his poll-axe sitting upon a close-stool, will be given to Ajax."
pillicock,1605,,Shakespeare King Lear III iv,Pillicock sat on Pillicock Hill.
tool,1613,,Shakespeare Henry VIII V iv,"Is this Moorfields to muster in? or have we some strange Indian with the great tool come to court, the women so besiege us?"
cock,1599,,Shakespeare Henry V II i,"Pistol’s cock is up, And flashing fire will follow."
